internal idx,feature idx,unit idx top,unit idx bottom,image idx top,image idx bottom,col idx top,row idx top,col idx bottom,row idx bottom,number of outliers,ranksum,median,mean,ttest,mestimation,NUM,ROW,COL,FeatSize,NumCirc,NumTri,NumLine,CircDiam,TriSize,LineLen,RotSD,FCP,CCDunsc,WN0.1,WN0.2,WN0.3,WN0.4,WN0.5,WN0.7,WN1,WN1.5,WN2,WN3,WN4,FCPLOG,DC,DT,DL,TriArea,CircArea,LineArea,TA,CA,LA,ROT,CCD,FCPN01,FCPN03,FCPLOGN0.1,FCPLOGN0.3,Split
1055,34,2078,4289,2275,67,32,32,65,65,10,1.93181,4892.3,4915.95,1.74079,4361.67,34,1,1,20,4,0,2,8.37137,3.43198,8.4631,125.763,0.3808,2,0.02305,0.034721,0.01212,0.008077,0.006316,0.004764,0.003464,0.002301,0.001751,0.001434,0.001414,-0.486154,0.01,0,0.005,9.0626,55.0406,25.3893,0,0.550406,0.126946,0.314408,0.0707107,0.454033,0.331859,-0.184388,-0.699788,1
1056,1,2144,4355,2212,64,32,33,65,66,8,1.86167,4624.02,4917.59,1.81111,4126,1,0,1,20,3,0,0,6.5818,3.75809,4.99324,167.549,0.130375,2,0.073584,0.044709,0.014173,0.01196,0.010227,0.007776,0.005032,0.003465,0.002813,0.002165,0.002187,-1.89765,0.0075,0,0,10.8667,34.0236,14.9797,0,0.255177,0,0,0.0707107,0.20855,0.01,-1.33369,-4.59512,1
1057,1055,33,2244,4323,2177,33,1,66,34,13,0.706727,4353.5,5230.91,0.982607,4650.3,1055,32,0,28,0,5,8,6.41712,8.58701,22.2169,37.6213,0.558418,10,0.017674,0.021639,0.008923,0.008324,0.010396,0.005085,0.003704,0.003025,0.002318,0.001909,0.002001,0.234746,0,0.00637755,0.0102041,56.7346,32.3423,66.6506,0.361828,0,0.680108,0.575836,0.252538,0.442385,0.058143,-0.23149,-2.78495,1
1058,1022,99,2310,4256,2046,33,2,66,35,13,1.4706,4539.63,4671.34,0.97324,4284.73,1022,31,0,10,0,0,3,3.2051,3.48528,7.37271,175.169,0.433,2,0.26285,0.036509,0.028842,0.014799,0.01156,0.010264,0.005935,0.004675,0.00368,0.002992,0.002939,-0.269622,0,0,0.03,9.34629,8.06816,22.1181,0,0,0.663544,3.50337,0.141421,0.575938,0.387174,0.306121,-0.459206,1
1059,989,165,2376,4191,2045,33,3,66,36,11,1.88573,4711,4917.04,1.92277,4141.95,989,30,0,10,2,0,2,3.11777,3.81573,6.27442,146.457,0.3732,2,0.376303,0.034821,0.039139,0.025843,0.01826,0.010033,0.007273,0.005892,0.004564,0.003752,0.003535,-0.518513,0.02,0,0.02,11.2026,7.63446,18.8233,0,0.152689,0.376465,1.46457,0.141421,0.234019,0.426094,-1.18575,-0.297805,1
1060,956,231,2442,4124,1914,33,4,66,37,8,-2.55063,3067.36,3582.26,-2.16162,4142.33,956,29,0,20,3,0,4,6.76172,4.11056,5.65316,105.924,0.3493,4,0.108212,0.057252,0.010113,0.013212,0.017222,0.007619,0.005875,0.004771,0.003924,0.002944,0.002802,-0.622118,0.0075,0,0.01,13.0007,35.9091,16.9595,0,0.269318,0.169595,0.794434,0.141421,0.258912,0.364338,-1.05163,-0.556586,1
1061,923,297,2508,4059,1913,33,5,66,38,7,-2.09378,3710.78,3766.21,-2.42631,3835.3,923,28,0,20,0,0,7,7.95419,4.59913,3.71629,29.6562,0.19005,4,0.040147,0.121372,0.017394,0.026001,0.03308,0.01435,0.009392,0.0085,0.006628,0.005059,0.004951,-1.44969,0,0,0.0175,16.2748,49.6915,11.1489,0,0,0.195105,0.444844,0.141421,0.269511,0.260876,-0.997107,-1.04142,1
1062,890,363,2574,3992,1782,33,6,66,39,16,0.217668,4331.07,4384.32,0.210549,4332.28,890,27,0,10,1,2,2,3.24571,3.72376,7.21996,155.938,0.3997,2,0.332931,0.028768,0.02096,0.017596,0.011501,0.011464,0.00796,0.005213,0.004401,0.003096,0.003325,-0.406715,0.01,0.02,0.02,10.6691,8.27387,21.6599,0.213382,0.0827387,0.433197,4.67813,0.141421,0.416851,0.120338,-0.335715,-1.98923,1
1063,857,429,2640,3927,1781,33,7,66,40,15,0.532949,4399.5,4828.11,0.779039,4266.71,857,26,0,20,5,0,6,4.36448,5.9722,11.9175,135.44,0.421525,2,0.030725,0.038135,0.010969,0.012379,0.00823,0.005251,0.004096,0.003212,0.002495,0.001964,0.00206,-0.316516,0.0125,0,0.015,27.4431,14.9608,35.7526,0,0.18701,0.536289,1.693,0.0707107,0.427537,0.01,-0.291906,-4.59512,1
1064,824,495,2706,3860,1650,33,8,66,41,8,-0.451314,3868.69,4104.46,-1.02182,4121.52,824,25,0,20,2,2,1,6.09569,5.21827,10.2491,146.251,0.22725,6,0.08887,0.020544,0.021732,0.018333,0.015626,0.011059,0.007276,0.005269,0.004208,0.003276,0.003487,-1.2239,0.005,0.005,0.0025,20.9516,29.1834,30.7472,0.104758,0.145917,0.076868,0.731257,0.212132,0.150719,0.01,-1.72897,-4.59512,1
